date,precipitation_kg/m2
20180101,10.0
20180102,0.8
20180103,0.7
20180104,4.0
20180105,6.3
20180106,0.0
20180107,0.0
20180108,0.0
20180109,0.0
20180110,0.0
20180111,0.0
20180112,0.8
20180113,0.9
20180114,0.0
20180115,0.0
20180116,19.8
20180117,15.4
20180118,12.0
20180119,7.0
20180120,0.0
20180121,1.6
20180122,0.0
20180123,0.0
20180124,13.0
20180125,7.0
20180126,0.0
20180127,0.5
20180128,8.2
20180129,2.1
20180130,8.7
20180131,1.7
20180201,19.3
20180202,5.2
20180203,3.2
20180204,1.3
20180205,0.0
20180206,0.0
20180207,0.0
20180208,0.0
20180209,0.0
20180210,0.0
20180211,0.8
20180212,3.3
20180213,6.2
20180214,0.7
20180215,0.0
20180216,0.0
20180217,1.8
20180218,0.0
20180219,2.9
20180220,0.0
20180221,0.5
20180222,0.4
20180223,0.0
20180224,0.0
20180225,2.9
20180226,0.0
20180227,0.3
20180228,0.2
20180301,0.0
20180302,0.0
20180303,0.0
20180304,0.5
20180305,2.1
20180306,2.6
20180307,0.0
20180308,0.0
20180309,6.0
20180310,3.5
20180311,0.0
20180312,13.8
20180313,7.5
20180314,0.0
20180315,0.0
20180316,0.0
20180317,0.0
20180318,0.0
20180319,0.0
20180320,0.0
20180321,0.0
20180322,0.0
20180323,0.0
20180324,0.0
20180325,0.0
20180326,1.2
20180327,0.0
20180328,0.0
20180329,0.0
20180330,0.0
20180331,0.0
20180401,0.0
20180402,0.0
20180403,0.0
20180404,3.4
20180405,10.9
20180406,11.9
20180407,0.0
20180408,0.0
20180409,4.5
20180410,9.6
20180411,0.0
20180412,0.0
20180413,0.0
20180414,0.0
20180415,0.0
20180416,0.0
20180417,0.0
20180418,0.4
20180419,0.0
20180420,0.0
20180421,0.0
20180422,0.0
20180423,0.0
20180424,11.6
20180425,0.0
20180426,1.6
20180427,0.0
20180428,2.2
20180429,0.0
20180430,0.0
20180501,9.9
20180502,9.1
20180503,0.0
20180504,10.4
20180505,0.0
20180506,0.0
20180507,0.0
20180508,0.0
20180509,0.0
20180510,0.0
20180511,1.3
20180512,8.3
20180513,0.8
20180514,0.0
20180515,0.0
20180516,0.0
20180517,0.0
20180518,0.0
20180519,0.0
20180520,0.0
20180521,0.0
20180522,0.0
20180523,0.0
20180524,0.0
20180525,0.0
20180526,0.0
20180527,0.0
20180528,0.0
20180529,0.0
20180530,0.0
20180531,0.0
20180601,0.0
20180602,0.0
20180603,3.6
20180604,0.0
20180605,0.0
20180606,0.0
20180607,0.0
20180608,0.0
20180609,0.0
20180610,0.0
20180611,7.8
20180612,12.7
20180613,0.0
20180614,2.3
20180615,0.0
20180616,0.0
20180617,1.0
20180618,19.9
20180619,0.0
20180620,0.0
20180621,0.0
20180622,17.6
