date,tempC
20180101,-0.800000011920929
20180102,-0.30000001192092896
20180103,0.20000000298023224
20180104,-0.800000011920929
20180105,0.0
20180106,-3.200000047683716
20180107,-9.699999809265137
20180108,-8.600000381469727
20180109,-6.699999809265137
20180110,-10.199999809265137
20180111,-11.100000381469727
20180112,-9.5
20180113,-4.599999904632568
20180114,-4.099999904632568
20180115,-4.5
20180116,-5.300000190734863
20180117,-2.0999999046325684
20180118,-3.0
20180119,-5.400000095367432
20180120,-4.900000095367432
20180121,-4.199999809265137
20180122,-5.199999809265137
20180123,-5.300000190734863
20180124,-4.599999904632568
20180125,1.7000000476837158
20180126,2.700000047683716
20180127,1.2999999523162842
20180128,-5.599999904632568
20180129,-1.5
20180130,-2.200000047683716
20180131,-4.699999809265137
20180201,-2.0999999046325684
20180202,-1.7999999523162842
20180203,-9.399999618530273
20180204,-10.399999618530273
20180205,-11.300000190734863
20180206,-14.199999809265137
20180207,-12.399999618530273
20180208,-10.100000381469727
20180209,-4.5
20180210,-3.200000047683716
20180211,-5.0
20180212,-4.199999809265137
20180213,-1.600000023841858
20180214,-2.0
20180215,-2.0999999046325684
20180216,-3.299999952316284
20180217,-2.200000047683716
20180218,-3.799999952316284
20180219,-2.5
20180220,-4.400000095367432
20180221,-10.300000190734863
20180222,-8.5
20180223,-5.699999809265137
20180224,-6.400000095367432
20180225,-8.699999809265137
20180226,-12.199999809265137
20180227,-12.100000381469727
20180228,-12.300000190734863
20180301,-14.199999809265137
20180302,-12.100000381469727
20180303,-10.100000381469727
20180304,-8.0
20180305,-6.599999904632568
20180306,-7.199999809265137
20180307,-5.300000190734863
20180308,-4.400000095367432
20180309,-5.199999809265137
20180310,-5.0
20180311,-4.0
20180312,-4.300000190734863
20180313,-1.0
20180314,-1.7000000476837158
20180315,-5.800000190734863
20180316,-8.399999618530273
20180317,-10.0
20180318,-10.600000381469727
20180319,-7.300000190734863
20180320,-0.6000000238418579
20180321,-2.799999952316284
20180322,-1.100000023841858
20180323,0.10000000149011612
20180324,-0.30000001192092896
20180325,0.0
20180326,2.700000047683716
20180327,-4.199999809265137
20180328,-7.699999809265137
20180329,-6.800000190734863
20180330,-6.400000095367432
20180331,-5.800000190734863
20180401,-4.900000095367432
20180402,-3.200000047683716
20180403,-2.9000000953674316
20180404,-3.5
20180405,1.399999976158142
20180406,2.0999999046325684
20180407,1.5
20180408,1.399999976158142
20180409,3.799999952316284
20180410,1.2000000476837158
20180411,0.5
20180412,0.8999999761581421
20180413,2.0
20180414,3.5999999046325684
20180415,6.0
20180416,6.099999904632568
20180417,5.5
20180418,6.199999809265137
20180419,8.100000381469727
20180420,9.600000381469727
20180421,11.399999618530273
20180422,8.300000190734863
20180423,7.699999809265137
20180424,5.699999809265137
20180425,5.900000095367432
20180426,6.099999904632568
20180427,5.0
20180428,4.699999809265137
20180429,5.199999809265137
20180430,5.699999809265137
20180501,5.699999809265137
20180502,3.5
20180503,5.900000095367432
20180504,3.799999952316284
20180505,7.5
20180506,10.300000190734863
20180507,12.699999809265137
20180508,13.699999809265137
20180509,14.300000190734863
20180510,15.800000190734863
20180511,14.199999809265137
20180512,14.800000190734863
20180513,15.100000381469727
20180514,16.700000762939453
20180515,17.0
20180516,17.600000381469727
20180517,17.5
20180518,10.800000190734863
20180519,10.800000190734863
20180520,13.399999618530273
20180521,14.5
20180522,15.300000190734863
20180523,16.0
20180524,16.0
20180525,16.600000381469727
20180526,18.700000762939453
20180527,18.0
20180528,16.700000762939453
20180529,16.0
20180530,19.399999618530273
20180531,20.0
20180601,16.899999618530273
20180602,18.5
20180603,20.5
20180604,21.399999618530273
20180605,16.5
20180606,8.800000190734863
20180607,10.699999809265137
20180608,16.299999237060547
20180609,16.600000381469727
20180610,18.299999237060547
20180611,18.399999618530273
20180612,14.899999618530273
20180613,13.899999618530273
20180614,11.800000190734863
20180615,13.600000381469727
20180616,14.100000381469727
20180617,13.600000381469727
20180618,11.800000190734863
20180619,12.0
20180620,13.899999618530273
20180621,11.5
20180622,8.199999809265137
20180623,10.199999809265137
20180624,12.399999618530273
20180625,14.5
20180626,16.700000762939453
20180627,18.899999618530273
20180628,20.399999618530273
20180629,19.700000762939453
20180630,13.199999809265137
20180701,12.899999618530273
20180702,14.199999809265137
20180703,15.699999809265137
20180704,18.600000381469727
20180705,19.0
20180706,18.5
20180707,19.399999618530273
20180708,15.699999809265137
20180709,16.799999237060547
20180710,17.399999618530273
20180711,19.600000381469727
20180712,19.399999618530273
20180713,19.399999618530273
20180714,19.299999237060547
20180715,20.0
20180716,20.5
20180717,20.600000381469727
20180718,22.5
20180719,20.899999618530273
20180720,21.299999237060547
20180721,21.399999618530273
20180722,20.100000381469727
20180723,16.799999237060547
20180724,19.100000381469727
20180725,21.5
20180726,22.5
20180727,22.5
20180728,23.200000762939453
20180729,19.799999237060547
20180730,20.700000762939453
20180731,21.5
20180801,21.899999618530273
20180802,22.299999237060547
20180803,20.700000762939453
20180804,19.5
20180805,19.899999618530273
20180806,17.700000762939453
20180807,14.800000190734863
20180808,16.200000762939453
20180809,19.700000762939453
20180810,19.299999237060547
20180811,15.899999618530273
20180812,14.699999809265137
20180813,11.5
20180814,12.399999618530273
20180815,11.300000190734863
20180816,13.800000190734863
20180817,16.200000762939453
20180818,16.0
20180819,13.100000381469727
20180820,14.899999618530273
20180821,10.600000381469727
20180822,11.100000381469727
20180823,11.899999618530273
20180824,15.800000190734863
20180825,13.399999618530273
20180826,11.0
20180827,9.800000190734863
20180828,9.300000190734863
20180829,11.300000190734863
20180830,12.800000190734863
20180831,13.800000190734863
20180901,10.399999618530273
20180902,13.300000190734863
20180903,12.699999809265137
20180904,12.399999618530273
20180905,13.699999809265137
20180906,12.5
20180907,12.399999618530273
20180908,13.399999618530273
20180909,12.600000381469727
20180910,11.699999809265137
20180911,12.0
20180912,10.800000190734863
20180913,11.0
20180914,9.899999618530273
20180915,11.399999618530273
20180916,10.300000190734863
20180917,7.199999809265137
20180918,10.399999618530273
20180919,13.0
20180920,15.0
20180921,11.800000190734863
20180922,11.600000381469727
